Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
509352 (2007 AG),1900-01-04 00:02:00,0.00963,0.00962,8.69,8.65,20.2,250 m -  550 m,2.0,550.0
(2014 SC324),1900-01-11 00:18:00,0.03997,0.03991,10.65,10.65,24.3,37 m -   82 m,0.0,82.0
(2012 UK171),1900-01-12 00:13:00,0.04982,0.0495,7.16,7.15,24.4,34 m -   77 m,0.0,77.0
4660 Nereus (1982 DB),1900-01-29 00:35:00,0.0208,0.02077,5.54,5.52,18.6,0.33±0.05 km,2.0,
(2015 RW83),1900-02-04 14:49:00,0.03312,0.03258,3.14,3.12,24.1,40 m -   90 m,0.0,90.0
378160 (2006 WX1),1900-02-10 00:02:00,0.03688,0.0368,10.36,10.35,19.7,310 m -  690 m,1.0,690.0
(2012 SD22),1900-02-18 00:01:00,0.04032,0.04031,14.35,14.34,20.1,250 m -  570 m,1.0,570.0
(2013 RZ5),1900-02-27 17:21:00,0.03498,0.02394,18.16,18.15,28.4,5.6 m -   12 m,0.0,12.0
(2019 VV),1900-03-03 01:15:00,0.04182,0.04085,7.91,7.9,25.3,23 m -   51 m,0.0,51.0
(2019 EW1),1900-03-10 02:46:00,0.02481,0.01647,10.76,10.75,27.1,10 m -   23 m,0.0,23.0
(2021 GT16),1900-04-06 14:28:00,0.01562,0.01417,7.81,7.79,27.4,8.8 m -   20 m,0.0,20.0
448721 (2011 BN24),1900-04-13 08:26:00,0.03975,0.03648,10.75,10.75,21.0,170 m -  380 m,1.0,380.0
(2017 KD3),1900-05-02 06:08:00,0.04882,0.04651,10.91,10.91,22.3,92 m -  210 m,0.0,210.0
(2018 JM2),1900-05-06 06:49:00,0.01863,0.01713,9.07,9.06,25.6,21 m -   46 m,0.0,46.0
(2016 JC6),1900-05-09 00:02:00,0.03434,0.03434,5.66,5.65,21.4,0.192±0.054 km,1.0,
461852 (2006 GY2),1900-05-12 00:14:00,0.04743,0.04727,20.13,20.13,18.9,440 m -  990 m,1.0,990.0
(2016 GW221),1900-05-24 01:03:00,0.02845,0.02844,5.55,5.53,24.8,30 m -   66 m,0.0,66.0
(2014 WG365),1900-06-02 00:40:00,0.04653,0.04598,16.42,16.42,20.0,270 m -  590 m,1.0,590.0
